Timestamp_Unix,Signal_mV,Intent_Label,Label_Class
1771058822.190119982,500.027374,REST,0
1771058822.190256834,500.214324,REST,0
1771058822.193372011,500.818695,REST,0
1771058822.193464041,502.087432,REST,0
1771058822.193526030,504.095153,REST,0
1771058822.197567940,506.704864,REST,0
1771058822.197667122,509.629913,REST,0
1771058822.197741032,512.562622,REST,0
1771058822.201467991,515.294921,REST,0
1771058822.201532841,517.707458,REST,0
1771058822.201587915,519.688110,REST,0
1771058822.205541849,521.122192,REST,0
1771058822.205599070,521.908691,REST,0
1771058822.205652952,521.945983,REST,0
1771058822.209640026,521.144348,REST,0
1771058822.209701061,519.446350,REST,0
1771058822.209754229,516.797851,REST,0
1771058822.213808060,513.114929,REST,0
1771058822.213868141,508.331298,REST,0
1771058822.213922024,502.530456,REST,0
1771058822.217847109,496.071899,REST,0
1771058822.217909098,489.595550,REST,0
1771058822.217961073,483.853515,REST,0
1771058822.218011856,479.477996,REST,0
1771058822.222611904,476.853179,REST,0
1771058822.222665071,476.114685,REST,0
1771058822.222714901,477.162536,REST,0
1771058822.226569891,479.664062,REST,0
1771058822.226616144,483.095275,REST,0
1771058822.226660013,486.819885,REST,0
1771058822.230522156,490.195648,REST,0
1771058822.230565786,492.690917,REST,0
1771058822.230609894,493.957977,REST,0
1771058822.234277010,493.857635,REST,0
1771058822.234328985,492.490478,REST,0
1771058822.234373808,490.209136,REST,0
1771058822.238426208,487.572021,REST,0
1771058822.238485098,485.274871,REST,0
1771058822.238530159,484.050720,REST,0
1771058822.242490053,484.485168,REST,0
1771058822.242538929,486.813629,REST,0
1771058822.242597103,490.824798,REST,0
1771058822.246541977,495.897308,REST,0
1771058822.246639013,501.150238,REST,0
1771058822.246685028,505.660125,REST,0
1771058822.250584126,508.646209,REST,0
1771058822.250629902,509.589508,REST,0
1771058822.250674009,508.330657,REST,0
1771058822.254680157,505.121765,REST,0
1771058822.254719973,500.558715,REST,0
1771058822.254757881,495.417388,REST,0
1771058822.258830070,490.471588,REST,0
1771058822.258884192,486.350250,REST,0
1771058822.258934975,483.480865,REST,0
1771058822.258972883,482.082061,REST,0
1771058822.263548851,482.148803,REST,0
1771058822.263586998,483.458251,REST,0
1771058822.263624907,485.646331,REST,0
1771058822.267519951,488.320831,REST,0
1771058822.267564058,491.133148,REST,0
1771058822.267606974,493.767395,REST,0
1771058822.271512985,495.901458,REST,0
1771058822.271557808,497.248352,REST,0
1771058822.271601915,497.673645,REST,0
1771058822.275492191,497.277465,REST,0
1771058822.275537014,496.383758,REST,0
1771058822.275580883,495.443664,REST,0
1771058822.279350996,494.917175,REST,0
1771058822.279398918,495.200378,REST,0
1771058822.279443026,496.577545,REST,0
1771058822.283482790,499.147338,REST,0
1771058822.283532143,502.764892,REST,0
1771058822.283576012,507.044738,REST,0
1771058822.287440777,511.411590,REST,0
1771058822.287482023,515.216064,REST,0
1771058822.287519932,517.868957,REST,0
1771058822.291594028,518.929321,REST,0
1771058822.291635036,518.151550,REST,0
1771058822.291673183,515.536132,REST,0
1771058822.295656919,511.337493,REST,0
1771058822.295698881,506.027740,REST,0
1771058822.295737028,500.280548,REST,0
1771058822.299751997,494.906433,REST,0
1771058822.299798965,490.699249,REST,0
1771058822.299836874,488.269012,REST,0
1771058822.303862095,487.944335,REST,0
1771058822.303901911,489.744476,REST,0
1771058822.303940058,493.403320,REST,0
1771058822.303977966,498.386810,REST,0
1771058822.308532953,503.888488,REST,0
1771058822.308576107,508.928741,REST,0
1771058822.308619976,512.598449,REST,0
1771058822.312560797,514.310668,REST,0
1771058822.312605858,513.906066,REST,0
1771058822.312649965,511.592346,REST,0
1771058822.316558123,507.825378,REST,0
1771058822.316606045,503.252471,REST,0
1771058822.316649914,498.681823,REST,0
1771058822.320234060,494.941802,REST,0
1771058822.320276022,492.654144,REST,0
1771058822.320314169,492.078430,REST,0
1771058822.324353933,493.113708,REST,0
1771058822.324410915,495.412261,REST,0
1771058822.324452162,498.487426,REST,0
1771058822.328504086,501.763488,REST,0
1771058822.328549147,504.632110,REST,0
1771058822.328588009,506.580230,REST,0
1771058822.332552910,507.327636,REST,0
1771058822.332594872,506.862823,REST,0
1771058822.332634926,505.377807,REST,0
1771058822.336659908,503.169616,REST,0
1771058822.336698771,500.587310,REST,0
1771058822.336735964,498.025787,REST,0
1771058822.340762138,495.904449,REST,0
1771058822.340807915,494.604736,REST,0
1771058822.340850830,494.406372,REST,0
1771058822.344854116,495.449523,REST,0
1771058822.344911814,497.713989,REST,0
1771058822.344954967,500.991302,REST,0
1771058822.348886967,504.865966,REST,0
1771058822.348949909,508.752899,REST,0
1771058822.348994017,512.004760,REST,0
1771058822.349037170,514.054565,REST,0
1771058822.353542805,514.546997,REST,0
1771058822.353586912,513.420471,REST,0
1771058822.353631020,510.892852,REST,0
1771058822.357482910,507.402465,REST,0
1771058822.357522964,503.549896,REST,0
1771058822.357561111,500.009948,REST,0
1771058822.361438990,497.415710,REST,0
1771058822.361477137,496.264923,REST,0
1771058822.361515045,496.835784,REST,0
1771058822.365413904,499.098083,REST,0
1771058822.365453005,502.682739,REST,0
1771058822.365490913,506.956604,REST,0
1771058822.369502068,511.187438,REST,0
1771058822.369544983,514.730102,REST,0
1771058822.369584084,517.122314,REST,0
1771058822.373530149,518.067016,REST,0
1771058822.373578072,517.406982,REST,0
1771058822.373620987,515.174011,REST,0
1771058822.377607822,511.670318,REST,0
1771058822.377655983,507.486633,REST,0
1771058822.377699137,503.390228,REST,0
1771058822.381701946,500.127716,REST,0
1771058822.381750107,498.262603,REST,0
1771058822.381793022,498.115692,REST,0
1771058822.385747910,499.759704,REST,0
1771058822.385799885,502.981536,REST,0
1771058822.385844946,507.242218,REST,0
1771058822.389828205,511.739013,REST,0
1771058822.389868021,515.587524,REST,0
1771058822.389905930,518.035766,REST,0
1771058822.393876076,518.633850,REST,0
1771058822.393929005,517.297424,REST,0
1771058822.393968821,514.260253,REST,0
1771058822.394008160,510.005279,REST,0
1771058822.398594141,505.203735,REST,0
1771058822.398638010,500.616912,REST,0
1771058822.398677111,496.968963,REST,0
1771058822.402529001,494.825531,REST,0
1771058822.402569056,494.475402,REST,0
1771058822.402607203,495.843170,REST,0
1771058822.406522036,498.489959,REST,0
1771058822.406559944,501.725219,REST,0
1771058822.406597853,504.798889,REST,0
1771058822.410394192,507.071624,REST,0
1771058822.410439014,508.068542,REST,0
1771058822.410478115,507.479461,REST,0
1771058822.414499044,505.208251,REST,0
1771058822.414540052,501.454833,REST,0
1771058822.414577961,496.735809,REST,0
1771058822.418521166,491.777587,REST,0
1771058822.418566942,487.300201,REST,0
1771058822.418606043,483.821533,REST,0
1771058822.422612906,481.610168,REST,0
1771058822.422652960,480.746826,REST,0
1771058822.422692060,481.167144,REST,0
1771058822.426753044,482.643005,REST,0
1771058822.426804066,484.762817,REST,0
1771058822.426842928,486.981842,REST,0
1771058822.430839062,488.738342,REST,0
1771058822.430884123,489.575866,REST,0
1771058822.430922031,489.234344,REST,0
1771058822.434867859,487.708038,REST,0
1771058822.434907913,485.257720,REST,0
1771058822.434946060,482.370788,REST,0
1771058822.434983969,479.661102,REST,0
1771058822.439578056,477.720916,REST,0
1771058822.439615965,477.008483,REST,0
1771058822.439654827,477.819000,REST,0
1771058822.443596125,480.274993,REST,0
1771058822.443634987,484.271514,REST,0
1771058822.443672180,489.419525,REST,0
1771058822.447571993,495.066284,REST,0
1771058822.447610855,500.428436,REST,0
1771058822.447649956,504.783172,REST,0
1771058822.451354027,507.623046,REST,0
1771058822.451644897,508.737945,REST,0
1771058822.451724052,508.238800,REST,0
1771058822.455436945,506.536193,REST,0
1771058822.455479145,504.270355,REST,0
1771058822.455518007,502.177459,REST,0
1771058822.459481001,500.892089,REST,0
1771058822.459522963,500.755737,REST,0
1771058822.459625959,501.724548,REST,0
1771058822.463624001,503.409027,REST,0
1771058822.463665009,505.218170,REST,0
1771058822.463704109,506.538574,REST,0
1771058822.467720032,506.856597,REST,0
1771058822.467760086,505.802246,REST,0
1771058822.467798948,503.183441,REST,0
1771058822.471817017,499.063415,REST,0
1771058822.471856117,493.826843,REST,0
1771058822.471894979,488.134307,REST,0
1771058822.475887060,482.729156,REST,0
1771058822.475939035,478.182830,REST,0
1771058822.475976944,474.751708,REST,0
1771058822.476015091,472.420532,REST,0
1771058822.480573893,471.063751,REST,0
1771058822.480613232,470.598602,REST,0
1771058822.480650902,471.033020,REST,0
1771058822.484609127,472.388488,REST,0
1771058822.484646797,474.601318,REST,0
1771058822.484684944,477.514434,REST,0
1771058822.488586903,480.931152,REST,0
1771058822.488624811,484.644165,REST,0
1771058822.488661051,488.401550,REST,0
1771058822.492245913,491.872772,REST,0
1771058822.492288113,494.704315,REST,0
1771058822.492326975,496.662658,REST,0
1771058822.496431112,497.736236,REST,0
1771058822.496469975,498.105041,REST,0
1771058822.496506929,498.063568,REST,0
1771058822.500482082,497.984771,REST,0
1771058822.500527143,498.310028,REST,0
1771058822.500565052,499.499938,REST,0
1771058822.504606962,501.918273,REST,0
1771058822.504649878,505.683197,REST,0
1771058822.504688025,510.574951,REST,0
1771058822.508690834,516.075866,REST,0
1771058822.508730888,521.491210,REST,0
1771058822.508769035,526.095458,REST,0
1771058822.512764931,529.286193,REST,0
1771058822.512816191,530.687561,REST,0
1771058822.512854099,530.173583,REST,0
1771058822.516848087,527.888610,REST,0
1771058822.516896009,524.297302,REST,0
1771058822.516933918,520.154663,REST,0
1771058822.520875931,516.344177,REST,0
1771058822.520927906,513.660156,REST,0
1771058822.520974159,512.646179,REST,0
1771058822.521018982,513.521850,REST,0
1771058822.525516033,516.178161,REST,0
1771058822.525554895,520.180175,REST,0
1771058822.525593996,524.777404,REST,0
1771058822.529435873,529.013061,REST,0
1771058822.529476166,531.971618,REST,0
1771058822.529515028,533.039794,REST,0
1771058822.533448935,532.026733,REST,0
1771058822.533497095,529.138671,REST,0
1771058822.533535004,524.858276,REST,0
1771058822.537469864,519.798828,REST,0
1771058822.537509203,514.599975,REST,0
