Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1772366821.846234083,0.289,500.0000,REST,0
1772366821.846309185,0.364,1006.8093,REST,0
1772366821.846359015,0.414,1067.7678,REST,0
1772366821.848940134,2.996,1024.9038,REST,0
1772366821.854050159,8.105,932.5010,REST,0
1772366821.861804008,15.859,842.1057,REST,0
1772366821.865632057,19.687,825.8665,REST,0
1772366821.874398947,28.454,773.2219,REST,0
1772366821.878286123,32.341,687.4453,REST,0
1772366821.885997057,40.052,620.4321,REST,0
1772366821.890930891,44.986,516.0278,REST,0
1772366821.898550987,52.606,384.5930,REST,0
1772366821.902437210,56.492,326.2561,REST,0
1772366821.911422968,65.478,317.9854,REST,0
1772366821.915308952,69.364,248.5459,REST,0
1772366821.923024893,77.080,191.0759,REST,0
1772366821.926860094,80.915,189.6799,REST,0
1772366821.935779095,89.834,162.1616,REST,0
1772366821.939651012,93.706,118.2400,REST,0
1772366821.947346926,101.403,95.2656,REST,0
1772366821.951292992,105.348,61.8811,REST,0
1772366821.960222960,114.278,-5.3677,REST,0
1772366821.964044094,118.099,-22.6919,REST,0
1772366821.971688032,125.743,-47.7720,REST,0
1772366821.976851940,130.907,-91.5173,REST,0
1772366821.984569073,138.624,-84.3047,REST,0
1772366821.988457918,142.513,-74.4680,REST,0
1772366821.997285128,151.340,-101.2087,REST,0
1772366822.001106977,155.162,-133.1592,REST,0
1772366822.008815050,162.870,-118.2161,REST,0
1772366822.012701035,166.756,-148.6738,REST,0
1772366822.021666050,175.721,-169.5017,REST,0
1772366822.025558949,179.614,-169.5137,REST,0
1772366822.033195972,187.251,-164.4148,REST,0
1772366822.038290024,192.345,-208.8447,REST,0
1772366822.046010971,200.066,-216.1836,REST,0
1772366822.049960852,204.016,-202.7158,REST,0
1772366822.058951855,213.007,-261.8418,REST,0
1772366822.062811852,216.867,-240.1555,REST,0
1772366822.070351124,224.406,-247.7544,REST,0
1772366822.074247837,228.303,-253.3025,REST,0
1772366822.083244085,237.299,-258.9685,REST,0
1772366822.087118149,241.173,-250.1387,REST,0
1772366822.094805956,248.861,-294.6248,REST,0
1772366822.098642826,252.699,-321.6802,REST,0
1772366822.107141972,261.197,-322.2881,REST,0
1772366822.111032009,265.087,-314.8989,REST,0
1772366822.120023966,274.079,-356.9956,REST,0
1772366822.123809099,277.864,-359.0410,REST,0
1772366822.131489038,285.544,-318.7058,REST,0
1772366822.136574984,290.630,-270.3904,REST,0
1772366822.144257069,298.312,-390.3777,REST,0
1772366822.148131132,302.186,-452.0195,REST,0
1772366822.157146931,311.202,-485.7559,REST,0
1772366822.161036015,315.091,-531.8384,REST,0
1772366822.168693066,322.748,-549.7874,REST,0
1772366822.172522068,326.577,-537.1511,REST,0
1772366822.181501865,335.557,-546.7344,REST,0
1772366822.185391188,339.446,-490.5720,REST,0
1772366822.193109035,347.164,-469.6123,REST,0
1772366822.197000027,351.055,-499.4060,REST,0
1772366822.205989838,360.045,-491.7922,REST,0
1772366822.209869146,363.925,-453.8450,REST,0
1772366822.217587948,371.643,-481.4185,REST,0
1772366822.222760916,376.816,-490.5382,REST,0
1772366822.230488062,384.543,-486.7410,REST,0
1772366822.234313011,388.368,-532.7787,REST,0
1772366822.243259907,397.315,-548.9015,REST,0
1772366822.247152090,401.208,-529.2433,REST,0
1772366822.254921913,408.977,-485.3269,REST,0
1772366822.258798122,412.854,-521.9938,REST,0
1772366822.267758131,421.813,-535.1047,REST,0
1772366822.271587133,425.642,-509.6828,REST,0
1772366822.278999090,433.054,-520.2769,REST,0
1772366822.284147024,438.202,-470.9942,REST,0
1772366822.291824818,445.880,-451.2980,REST,0
1772366822.295729876,449.785,-498.2525,REST,0
1772366822.303439856,457.495,-531.0178,REST,0
1772366822.308552027,462.607,-488.6928,REST,0
1772366822.315785885,469.841,-494.5463,REST,0
1772366822.320947886,475.003,-521.9586,REST,0
1772366822.328031063,482.086,-527.1840,REST,0
1772366822.333189964,487.245,-529.0664,REST,0
1772366822.340294838,494.350,-563.8197,REST,0
1772366822.345389128,499.444,-573.4585,REST,0
1772366822.352610111,506.665,-554.6389,REST,0
1772366822.357741117,511.796,-592.5595,REST,0
1772366822.364911079,518.966,-592.4257,REST,0
1772366822.370079994,524.136,-565.7103,REST,0
1772366822.377143145,531.198,-586.3176,REST,0
1772366822.382275105,536.330,-604.0282,REST,0
1772366822.389467955,543.523,-568.6107,REST,0
1772366822.394639015,548.694,-576.7511,REST,0
1772366822.401775122,555.830,-490.5685,REST,0
1772366822.406889915,560.945,-605.2149,REST,0
1772366822.413990974,568.046,-743.9888,REST,0
1772366822.419175863,573.231,-771.0111,REST,0
1772366822.426326036,580.381,-848.5576,REST,0
1772366822.431482077,585.537,-838.8101,REST,0
1772366822.438621998,592.677,-914.7537,REST,0
1772366822.443738937,597.794,-1040.5922,REST,0
1772366822.450935125,604.990,-958.9585,REST,0
1772366822.456109047,610.165,-953.1738,REST,0
1772366822.463224173,617.279,-1022.6253,REST,0
1772366822.468357086,622.412,-931.9419,REST,0
1772366822.475471020,629.526,-837.6206,REST,0
1772366822.480551004,634.606,-889.2649,REST,0
1772366822.487771988,641.827,-790.1596,REST,0
1772366822.492939949,646.995,-724.1810,REST,0
1772366822.500160933,654.216,-709.8593,REST,0
1772366822.505332947,659.388,-665.8439,REST,0
1772366822.512320995,666.376,-626.6558,REST,0
1772366822.517419100,671.474,-665.8120,REST,0
1772366822.524627924,678.683,-690.4660,REST,0
1772366822.529786110,683.841,-656.3112,REST,0
1772366822.536914825,690.970,-644.3278,REST,0
1772366822.542039156,696.094,-633.2097,REST,0
1772366822.549157143,703.212,-616.7258,REST,0
1772366822.554389954,708.445,-626.2560,REST,0
1772366822.561494112,715.549,-608.4752,REST,0
1772366822.566647053,720.702,-588.6351,REST,0
1772366822.573782921,727.838,-550.9277,REST,0
1772366822.578906775,732.962,-525.9137,REST,0
1772366822.586085796,740.141,-471.7391,REST,0
1772366822.591245174,745.300,-376.4552,REST,0
1772366822.598339081,752.394,-345.6383,REST,0
1772366822.603512049,757.567,-362.1116,REST,0
1772366822.610625029,764.680,-315.1686,REST,0
1772366822.615558863,769.614,-398.7662,REST,0
1772366822.622924089,776.979,-498.5330,REST,0
1772366822.628105879,782.161,-423.7426,REST,0
1772366822.635213137,789.268,-346.3554,REST,0
1772366822.640352964,794.408,-354.1050,REST,0
1772366822.648123980,802.179,-318.2551,CLICK,1
1772366822.652059793,806.116,-186.9879,CLICK,1
1772366822.659758091,813.814,-125.1797,CLICK,1
1772366822.664837837,818.893,26.9172,CLICK,1
1772366822.672083855,826.139,155.7100,CLICK,1
1772366822.677175045,831.230,192.9855,CLICK,1
1772366822.684288025,838.343,295.2235,CLICK,1
1772366822.689383030,843.438,363.0935,CLICK,1
1772366822.696542978,850.599,462.6863,CLICK,1
1772366822.701626062,855.681,521.3159,CLICK,1
1772366822.708848238,862.903,699.7503,CLICK,1
1772366822.713948011,868.003,893.0850,CLICK,1
1772366822.721120119,875.176,904.8374,CLICK,1
1772366822.726199150,880.254,933.7224,CLICK,1
1772366822.733392954,887.448,986.7608,CLICK,1
1772366822.738476038,892.531,970.6196,CLICK,1
1772366822.745692968,899.748,1111.2543,CLICK,1
1772366822.750778198,904.833,1140.5583,CLICK,1
1772366822.758027077,912.082,1013.2598,CLICK,1
1772366822.763111830,917.167,938.9170,CLICK,1
1772366822.770272970,924.328,871.2363,CLICK,1
1772366822.775350094,929.405,655.8145,CLICK,1
1772366822.782548904,936.604,540.4849,CLICK,1
1772366822.787621975,941.677,471.1433,CLICK,1
1772366822.794816971,948.872,334.9072,CLICK,1
