Timestamp_Unix,Signal_mV,Intent_Label,Label_Class
1770979521.993584156,500.011718,REST,0
1770979521.996320009,500.095214,REST,0
1770979521.996414900,500.381988,REST,0
1770979521.996495008,501.027099,REST,0
1770979521.999865055,502.109344,REST,0
1770979521.999941826,503.561889,REST,0
1770979522.000000954,505.193267,REST,0
1770979522.003982067,506.786407,REST,0
1770979522.004072905,508.187988,REST,0
1770979522.004144192,509.303344,REST,0
1770979522.008019924,510.023712,REST,0
1770979522.008088112,510.192291,REST,0
1770979522.008150101,509.648986,REST,0
1770979522.012178898,508.300750,REST,0
1770979522.012248039,506.157958,REST,0
1770979522.012302160,503.335632,REST,0
1770979522.016201019,500.052032,REST,0
1770979522.016257048,496.633514,REST,0
1770979522.016309023,493.498535,REST,0
1770979522.020278931,491.087219,REST,0
1770979522.020335197,489.748413,REST,0
1770979522.020387173,489.645538,REST,0
1770979522.024343967,490.725433,REST,0
1770979522.024402857,492.737121,REST,0
1770979522.024454832,495.286682,REST,0
1770979522.028481007,497.911437,REST,0
1770979522.028546095,500.152740,REST,0
1770979522.028592110,501.644439,REST,0
1770979522.028635979,502.212188,REST,0
1770979522.033234835,501.926177,REST,0
1770979522.033278942,501.064361,REST,0
1770979522.033323050,499.996307,REST,0
1770979522.037245035,499.021942,REST,0
1770979522.037290096,498.257690,REST,0
1770979522.037333965,497.656372,REST,0
1770979522.041283131,497.115173,REST,0
1770979522.041333914,496.563659,REST,0
1770979522.041395903,495.974029,REST,0
1770979522.044881821,495.319854,REST,0
1770979522.044940948,494.567718,REST,0
1770979522.044991970,493.735717,REST,0
1770979522.048969030,492.949310,REST,0
1770979522.049015999,492.418884,REST,0
1770979522.049059153,492.339080,REST,0
1770979522.053044081,492.771148,REST,0
1770979522.053091049,493.600372,REST,0
1770979522.053135872,494.609680,REST,0
1770979522.057245016,495.595947,REST,0
1770979522.057287931,496.439270,REST,0
1770979522.057327032,497.103637,REST,0
1770979522.061327934,497.594055,REST,0
1770979522.061373949,497.929809,REST,0
1770979522.061418056,498.163848,REST,0
1770979522.065345049,498.394439,REST,0
1770979522.065397024,498.731079,REST,0
1770979522.065441132,499.251159,REST,0
1770979522.069437981,499.972625,REST,0
1770979522.069496155,500.834930,REST,0
1770979522.069539070,501.702575,REST,0
1770979522.069583178,502.409790,REST,0
1770979522.074208975,502.840301,REST,0
1770979522.074254036,503.006652,REST,0
1770979522.074298143,503.058593,REST,0
1770979522.078252077,503.190307,REST,0
1770979522.078295946,503.527648,REST,0
1770979522.078341007,504.093688,REST,0
1770979522.082310915,504.839294,REST,0
1770979522.082353830,505.666931,REST,0
1770979522.082396984,506.430480,REST,0
1770979522.085831881,506.950592,REST,0
1770979522.085875988,507.078796,REST,0
1770979522.085920095,506.778167,REST,0
1770979522.089970827,506.129821,REST,0
1770979522.090010166,505.245880,REST,0
1770979522.090046883,504.192932,REST,0
1770979522.094041109,502.990386,REST,0
1770979522.094089031,501.642730,REST,0
1770979522.094135046,500.167572,REST,0
1770979522.098155975,498.604187,REST,0
1770979522.098200083,496.984649,REST,0
1770979522.098244190,495.314575,REST,0
1770979522.102267981,493.610321,REST,0
1770979522.102318048,491.957458,REST,0
1770979522.102373123,490.542724,REST,0
1770979522.106288195,489.645385,REST,0
1770979522.106333971,489.547302,REST,0
1770979522.106378078,490.380645,REST,0
1770979522.110378981,492.024902,REST,0
1770979522.110424042,494.121154,REST,0
1770979522.110466957,496.186096,REST,0
1770979522.110510111,497.773345,REST,0
1770979522.115055084,498.599884,REST,0
1770979522.115102053,498.572296,REST,0
1770979522.115147114,497.747650,REST,0
1770979522.119002104,496.297241,REST,0
1770979522.119046926,494.506225,REST,0
1770979522.119091034,492.782440,REST,0
1770979522.122932911,491.614868,REST,0
